trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,instr1.started,instr1.stopped,instr1Resp.keys,instr1Resp.rt,instr1Resp.started,instr1Resp.stopped,fix1.started,fix1.stopped,trial1Mouse.x,trial1Mouse.y,trial1Mouse.leftButton,trial1Mouse.midButton,trial1Mouse.rightButton,trial1Mouse.time,trial1Mouse.started,trial1Mouse.stopped,step,targetangle_deg,trial1Target.started,trial1Target.stopped,trial1Home.started,trial1Home.stopped,trial1Cursor.started,trial1Cursor.stopped,trial1Num.started,trial1Num.stopped,trial1Skip.keys,trial1Skip.rt,trial1Skip.started,trial1Skip.stopped,instr2.started,instr2.stopped,instr2Resp.keys,instr2Resp.rt,instr2Resp.started,instr2Resp.stopped,fix2.started,fix2.stopped,trial2Mouse.x,trial2Mouse.y,trial2Mouse.leftButton,trial2Mouse.midButton,trial2Mouse.rightButton,trial2Mouse.time,trial2Mouse.started,trial2Mouse.stopped,trial2Target.started,trial2Target.stopped,trial2Home.started,trial2Home.stopped,trial2Cursor.started,trial2Cursor.stopped,trial2Num.started,trial2Num.stopped,participant,session,date,expName,psychopyVersion,frameRate,
9,0,9,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.005766700021922588, 0.01608299999497831, 0.035260200034826994, 0.05232190003152937, 0.06906709994655102, 0.08570559998042881, 0.10240979993250221, 0.1191918000113219, 0.13571199995931238, 0.15280229994095862, 0.1691628999542445, 0.18589379999320954, 0.20520359999500215, 0.21901849994901568, 0.23610330000519753]",15.507611199980602,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",60,15.507611199980602,None,15.507611199980602,None,15.507611199980602,None,15.507611199980602,None,space,0.21175859996583313,15.507611199980602,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
10,0,10,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.0031144999666139483, 0.013427300029434264, 0.03556280001066625, 0.05394459993112832, 0.0695304999826476, 0.08675239991862327]",15.754132599919103,None,"[1, 1, 1, 1, 1, 1]",30,15.754132599919103,None,15.754132599919103,None,15.754132599919103,None,15.754132599919103,None,space,0.06926879996899515,15.754132599919103,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
11,0,11,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.003682600101456046, 0.01530080009251833, 0.03626500000245869, 0.05368650006130338, 0.07029470009729266, 0.08760130009613931, 0.10359980002976954, 0.12033460009843111, 0.1370577000780031, 0.15353290003258735, 0.1702435000333935, 0.1867340001044795]",15.854945699917153,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",60,15.854945699917153,None,15.854945699917153,None,15.854945699917153,None,15.854945699917153,None,space,0.1604405000107363,15.854945699917153,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
12,0,12,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0.0030423999996855855, 0.014840299962088466, 0.03542359999846667, 0.0533216999610886, 0.06938560004346073, 0.08608769997954369, 0.10313249996397644]",16.055286999908276,None,"[1, 1, 1, 1, 1, 1, 1]",30,16.055286999908276,None,16.055286999908276,None,16.055286999908276,None,16.055286999908276,None,space,0.0804649000056088,16.055286999908276,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
13,0,13,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0029560000402852893, 0.014080499997362494, 0.03372579999268055, 0.050926299998536706, 0.06808050000108778, 0.0843174000037834, 0.10099669999908656, 0.1176273999735713, 0.13429590000305325, 0.15171200002077967]",16.17259390000254,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",60,16.17259390000254,None,16.17259390000254,None,16.17259390000254,None,16.17259390000254,None,space,0.13081030000466853,16.17259390000254,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
14,0,14,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0.0028955000452697277, 0.0139239999698475, 0.035123600042425096, 0.05219650000799447, 0.06890549999661744, 0.08577610005158931, 0.10243500000797212]",16.33780959993601,None,"[1, 1, 1, 1, 1, 1, 1]",30,16.33780959993601,None,16.33780959993601,None,16.33780959993601,None,16.33780959993601,None,space,0.07765250001102686,16.33780959993601,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
15,0,15,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.002968000015243888, 0.01412399997934699, 0.036098400014452636, 0.05333489994518459, 0.06998919998295605, 0.08726459997706115, 0.10337259992957115, 0.12001279997639358, 0.13666750001721084, 0.15331399999558926, 0.169902199995704]",16.453715599956922,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",60,16.453715599956922,None,16.453715599956922,None,16.453715599956922,None,16.453715599956922,None,space,0.14576069999020547,16.453715599956922,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
16,0,16,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.003007400082424283, 0.013151900027878582, 0.036399299977347255, 0.05377670004963875, 0.07087900000624359, 0.08744620007928461]",16.636258199927397,None,"[1, 1, 1, 1, 1, 1]",30,16.636258199927397,None,16.636258199927397,None,16.636258199927397,None,16.636258199927397,None,space,0.06716520001646131,16.636258199927397,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
17,0,17,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0029546000296249986, 0.014211400062777102, 0.03624160005711019, 0.05342070001643151, 0.07022190000861883, 0.08686799998395145, 0.1035590999526903, 0.12008100003004074, 0.137131700059399]",16.736994799925014,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",60,16.736994799925014,None,16.736994799925014,None,16.736994799925014,None,16.736994799925014,None,space,0.11855110002215952,16.736994799925014,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
18,0,18,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0029115000506863, 0.013489300035871565, 0.03499229997396469, 0.05236720002721995, 0.06952979997731745, 0.08663829998113215, 0.10268779995385557, 0.11901260004378855, 0.13571990001946688, 0.1522916000103578, 0.16897720005363226, 0.18569079996086657, 0.20272199995815754]",16.887879099929705,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",30,16.887879099929705,None,16.887879099929705,None,16.887879099929705,None,16.887879099929705,None,space,0.18355810001958162,16.887879099929705,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
